Producing messages to topic 'device_topic'...
Sent: {'timestamp': 1757315458.5254443, 'temperature': 29.88, 'status': 'warning'}
Sent: {'timestamp': 1757315467.8070664, 'temperature': 23.03, 'status': 'error'}
Sent: {'timestamp': 1757315468.1411412, 'temperature': 24.56, 'status': 'ok'}
Sent: {'timestamp': 1757315468.4754276, 'temperature': 25.92, 'status': 'error'}
Sent: {'timestamp': 1757315468.8092113, 'temperature': 20.83, 'status': 'warning'}
Sent: {'timestamp': 1757315469.143828, 'temperature': 20.22, 'status': 'ok'}
Sent: {'timestamp': 1757315469.4780333, 'temperature': 22.95, 'status': 'warning'}
Sent: {'timestamp': 1757315469.813711, 'temperature': 27.25, 'status': 'warning'}
Sent: {'timestamp': 1757315470.1479986, 'temperature': 24.14, 'status': 'ok'}
Sent: {'timestamp': 1757315470.4825642, 'temperature': 22.85, 'status': 'error'}
Sent: {'timestamp': 1757315470.8167179, 'temperature': 22.05, 'status': 'error'}
Sent: {'timestamp': 1757315471.1511977, 'temperature': 22.05, 'status': 'ok'}
Sent: {'timestamp': 1757315471.4860406, 'temperature': 25.5, 'status': 'ok'}
Sent: {'timestamp': 1757315471.8210232, 'temperature': 27.77, 'status': 'ok'}
Sent: {'timestamp': 1757315472.155738, 'temperature': 23.13, 'status': 'ok'}
Sent: {'timestamp': 1757315472.4898589, 'temperature': 20.66, 'status': 'ok'}
Sent: {'timestamp': 1757315472.82464, 'temperature': 29.37, 'status': 'warning'}
Sent: {'timestamp': 1757315473.1598122, 'temperature': 22.55, 'status': 'warning'}
Sent: {'timestamp': 1757315473.4945414, 'temperature': 25.22, 'status': 'warning'}
Sent: {'timestamp': 1757315473.8296332, 'temperature': 26.87, 'status': 'error'}
Sent: {'timestamp': 1757315474.1643908, 'temperature': 27.03, 'status': 'ok'}
Sent: {'timestamp': 1757315474.49878, 'temperature': 20.92, 'status': 'warning'}
Sent: {'timestamp': 1757315474.8327982, 'temperature': 21.45, 'status': 'ok'}
Sent: {'timestamp': 1757315475.167135, 'temperature': 29.04, 'status': 'ok'}
Sent: {'timestamp': 1757315475.50407, 'temperature': 22.87, 'status': 'error'}
Sent: {'timestamp': 1757315475.838342, 'temperature': 20.33, 'status': 'error'}
Sent: {'timestamp': 1757315476.171066, 'temperature': 23.99, 'status': 'warning'}
Sent: {'timestamp': 1757315476.5053988, 'temperature': 20.36, 'status': 'error'}
Sent: {'timestamp': 1757315476.8398962, 'temperature': 21.2, 'status': 'error'}
Sent: {'timestamp': 1757315477.174749, 'temperature': 29.02, 'status': 'warning'}
Sent: {'timestamp': 1757315477.5089011, 'temperature': 26.64, 'status': 'warning'}
Sent: {'timestamp': 1757315477.842865, 'temperature': 22.03, 'status': 'ok'}
Sent: {'timestamp': 1757315478.1764665, 'temperature': 24.97, 'status': 'warning'}
Sent: {'timestamp': 1757315478.5113704, 'temperature': 24.52, 'status': 'error'}
Sent: {'timestamp': 1757315478.8449922, 'temperature': 28.29, 'status': 'warning'}
Sent: {'timestamp': 1757315479.1795588, 'temperature': 26.57, 'status': 'ok'}
Sent: {'timestamp': 1757315479.5134606, 'temperature': 29.86, 'status': 'warning'}
Sent: {'timestamp': 1757315479.8486297, 'temperature': 24.52, 'status': 'error'}
Sent: {'timestamp': 1757315480.1850526, 'temperature': 26.63, 'status': 'ok'}
Sent: {'timestamp': 1757315480.5200567, 'temperature': 26.47, 'status': 'error'}
Sent: {'timestamp': 1757315480.855666, 'temperature': 25.58, 'status': 'warning'}
Sent: {'timestamp': 1757315481.1897893, 'temperature': 27.94, 'status': 'warning'}
Sent: {'timestamp': 1757315481.5257564, 'temperature': 29.15, 'status': 'warning'}
Sent: {'timestamp': 1757315481.860577, 'temperature': 20.05, 'status': 'warning'}
Sent: {'timestamp': 1757315482.1958103, 'temperature': 24.17, 'status': 'ok'}
Sent: {'timestamp': 1757315482.5301292, 'temperature': 27.85, 'status': 'ok'}
Sent: {'timestamp': 1757315482.8637729, 'temperature': 26.5, 'status': 'error'}
Sent: {'timestamp': 1757315483.198324, 'temperature': 25.55, 'status': 'warning'}
Sent: {'timestamp': 1757315483.533458, 'temperature': 25.4, 'status': 'warning'}
Sent: {'timestamp': 1757315483.8680544, 'temperature': 23.31, 'status': 'error'}
Sent: {'timestamp': 1757315484.2023957, 'temperature': 20.42, 'status': 'ok'}
Sent: {'timestamp': 1757315484.5363917, 'temperature': 22.31, 'status': 'error'}
Sent: {'timestamp': 1757315487.2189775, 'temperature': 25.02, 'status': 'error'}
Sent: {'timestamp': 1757315487.5531626, 'temperature': 25.22, 'status': 'warning'}
Sent: {'timestamp': 1757315487.887674, 'temperature': 27.22, 'status': 'ok'}
Sent: {'timestamp': 1757315488.2235332, 'temperature': 20.15, 'status': 'error'}
Sent: {'timestamp': 1757315488.5573997, 'temperature': 23.71, 'status': 'warning'}
Sent: {'timestamp': 1757315488.8917847, 'temperature': 21.58, 'status': 'error'}
Sent: {'timestamp': 1757315489.2265368, 'temperature': 23.93, 'status': 'ok'}
Sent: {'timestamp': 1757315489.562128, 'temperature': 26.74, 'status': 'error'}
Sent: {'timestamp': 1757315489.896681, 'temperature': 25.18, 'status': 'warning'}
Sent: {'timestamp': 1757315490.2317314, 'temperature': 22.88, 'status': 'error'}
Sent: {'timestamp': 1757315490.5658224, 'temperature': 27.82, 'status': 'ok'}
Sent: {'timestamp': 1757315490.900445, 'temperature': 23.69, 'status': 'error'}
Sent: {'timestamp': 1757315491.2355394, 'temperature': 21.2, 'status': 'warning'}
Sent: {'timestamp': 1757315491.570063, 'temperature': 26.02, 'status': 'error'}
Sent: {'timestamp': 1757315491.9042659, 'temperature': 23.34, 'status': 'ok'}
Sent: {'timestamp': 1757315492.238496, 'temperature': 20.73, 'status': 'error'}
Sent: {'timestamp': 1757315492.573159, 'temperature': 23.15, 'status': 'error'}
Sent: {'timestamp': 1757315492.907327, 'temperature': 20.14, 'status': 'ok'}
Sent: {'timestamp': 1757315493.2434793, 'temperature': 29.76, 'status': 'warning'}
Sent: {'timestamp': 1757315493.578241, 'temperature': 27.3, 'status': 'warning'}
Sent: {'timestamp': 1757315493.9128926, 'temperature': 23.68, 'status': 'error'}
Sent: {'timestamp': 1757315494.2471895, 'temperature': 26.83, 'status': 'ok'}
Sent: {'timestamp': 1757315494.5822425, 'temperature': 20.36, 'status': 'warning'}
Sent: {'timestamp': 1757315494.916108, 'temperature': 24.99, 'status': 'ok'}
Sent: {'timestamp': 1757315495.2485018, 'temperature': 23.58, 'status': 'error'}
Sent: {'timestamp': 1757315495.589186, 'temperature': 21.17, 'status': 'ok'}
Sent: {'timestamp': 1757315495.9229808, 'temperature': 27.23, 'status': 'warning'}
Sent: {'timestamp': 1757315496.2569914, 'temperature': 21.06, 'status': 'warning'}
Sent: {'timestamp': 1757315496.5920699, 'temperature': 23.21, 'status': 'error'}
Sent: {'timestamp': 1757315496.9263566, 'temperature': 28.84, 'status': 'error'}
Sent: {'timestamp': 1757315497.2600162, 'temperature': 28.54, 'status': 'warning'}
Sent: {'timestamp': 1757315497.5938861, 'temperature': 22.0, 'status': 'error'}
Sent: {'timestamp': 1757315497.9282372, 'temperature': 21.03, 'status': 'warning'}
Sent: {'timestamp': 1757315498.2622585, 'temperature': 29.22, 'status': 'error'}
Sent: {'timestamp': 1757315498.5959303, 'temperature': 20.9, 'status': 'ok'}
Sent: {'timestamp': 1757315498.9319155, 'temperature': 24.42, 'status': 'warning'}
Sent: {'timestamp': 1757315499.2657828, 'temperature': 25.44, 'status': 'warning'}
Sent: {'timestamp': 1757315499.6013825, 'temperature': 23.94, 'status': 'warning'}
Sent: {'timestamp': 1757315499.9360545, 'temperature': 25.46, 'status': 'error'}
Sent: {'timestamp': 1757315500.2706912, 'temperature': 29.74, 'status': 'ok'}
Sent: {'timestamp': 1757315500.6052575, 'temperature': 29.79, 'status': 'ok'}
Sent: {'timestamp': 1757315500.9391396, 'temperature': 22.66, 'status': 'warning'}
Sent: {'timestamp': 1757315501.2735195, 'temperature': 21.13, 'status': 'ok'}
Sent: {'timestamp': 1757315501.607715, 'temperature': 23.45, 'status': 'ok'}
Sent: {'timestamp': 1757315501.941722, 'temperature': 21.09, 'status': 'error'}
Sent: {'timestamp': 1757315502.2768016, 'temperature': 23.03, 'status': 'warning'}
Sent: {'timestamp': 1757315502.6098254, 'temperature': 25.04, 'status': 'error'}
Sent: {'timestamp': 1757315502.943827, 'temperature': 21.75, 'status': 'error'}
Sent: {'timestamp': 1757315503.277911, 'temperature': 26.17, 'status': 'warning'}
Sent: {'timestamp': 1757315503.6128123, 'temperature': 29.13, 'status': 'error'}
Sent: {'timestamp': 1757315503.9470868, 'temperature': 22.13, 'status': 'warning'}
Sent: {'timestamp': 1757315504.2841144, 'temperature': 24.02, 'status': 'error'}
Sent: {'timestamp': 1757315504.6172702, 'temperature': 21.66, 'status': 'error'}
Sent: {'timestamp': 1757315504.9495552, 'temperature': 28.65, 'status': 'error'}
Sent: {'timestamp': 1757315505.2813337, 'temperature': 24.73, 'status': 'error'}
Sent: {'timestamp': 1757315505.6136253, 'temperature': 29.34, 'status': 'ok'}
Sent: {'timestamp': 1757315505.9466424, 'temperature': 25.66, 'status': 'error'}
Sent: {'timestamp': 1757315506.2787428, 'temperature': 27.18, 'status': 'error'}
Sent: {'timestamp': 1757315506.6110008, 'temperature': 25.37, 'status': 'error'}
Sent: {'timestamp': 1757315506.9431376, 'temperature': 26.1, 'status': 'ok'}
Sent: {'timestamp': 1757315507.2748547, 'temperature': 28.76, 'status': 'warning'}
Sent: {'timestamp': 1757315507.6068091, 'temperature': 22.09, 'status': 'warning'}
Sent: {'timestamp': 1757315507.9388218, 'temperature': 26.7, 'status': 'error'}
Sent: {'timestamp': 1757315508.2708023, 'temperature': 20.97, 'status': 'warning'}
Sent: {'timestamp': 1757315508.602874, 'temperature': 23.66, 'status': 'ok'}
Sent: {'timestamp': 1757315508.9347372, 'temperature': 23.33, 'status': 'error'}
Sent: {'timestamp': 1757315509.2669568, 'temperature': 22.94, 'status': 'ok'}
Sent: {'timestamp': 1757315509.5987625, 'temperature': 27.14, 'status': 'warning'}
Sent: {'timestamp': 1757315509.9326224, 'temperature': 23.26, 'status': 'error'}
Sent: {'timestamp': 1757315510.266671, 'temperature': 27.75, 'status': 'warning'}
Sent: {'timestamp': 1757315510.600336, 'temperature': 28.2, 'status': 'error'}
Sent: {'timestamp': 1757315510.9338052, 'temperature': 24.11, 'status': 'error'}
Sent: {'timestamp': 1757315511.2684536, 'temperature': 21.75, 'status': 'error'}
Sent: {'timestamp': 1757315511.603438, 'temperature': 29.85, 'status': 'ok'}
Sent: {'timestamp': 1757315511.9355357, 'temperature': 20.34, 'status': 'warning'}
Sent: {'timestamp': 1757315512.2704957, 'temperature': 29.93, 'status': 'warning'}
Sent: {'timestamp': 1757315512.604567, 'temperature': 28.6, 'status': 'error'}
Sent: {'timestamp': 1757315512.9395216, 'temperature': 21.66, 'status': 'warning'}
Sent: {'timestamp': 1757315513.2745564, 'temperature': 23.21, 'status': 'error'}
Sent: {'timestamp': 1757315513.608488, 'temperature': 26.79, 'status': 'warning'}
Sent: {'timestamp': 1757315513.9415383, 'temperature': 24.1, 'status': 'warning'}
Sent: {'timestamp': 1757315514.274546, 'temperature': 20.58, 'status': 'ok'}
Sent: {'timestamp': 1757315514.6084585, 'temperature': 22.16, 'status': 'warning'}
Sent: {'timestamp': 1757315514.942503, 'temperature': 21.02, 'status': 'ok'}
Sent: {'timestamp': 1757315515.276117, 'temperature': 29.8, 'status': 'ok'}
Sent: {'timestamp': 1757315515.6094973, 'temperature': 25.41, 'status': 'error'}
Sent: {'timestamp': 1757315515.9434435, 'temperature': 25.85, 'status': 'error'}
Sent: {'timestamp': 1757315516.2773273, 'temperature': 20.24, 'status': 'ok'}
Sent: {'timestamp': 1757315516.6115043, 'temperature': 20.29, 'status': 'error'}
Sent: {'timestamp': 1757315516.945131, 'temperature': 25.46, 'status': 'warning'}
Sent: {'timestamp': 1757315517.2795267, 'temperature': 24.69, 'status': 'ok'}
Sent: {'timestamp': 1757315517.6145837, 'temperature': 20.07, 'status': 'error'}
Sent: {'timestamp': 1757315517.9486344, 'temperature': 24.95, 'status': 'warning'}
Sent: {'timestamp': 1757315518.283713, 'temperature': 20.04, 'status': 'error'}
Sent: {'timestamp': 1757315518.617832, 'temperature': 25.01, 'status': 'error'}
Sent: {'timestamp': 1757315518.9516108, 'temperature': 29.72, 'status': 'ok'}
Sent: {'timestamp': 1757315519.284916, 'temperature': 28.22, 'status': 'error'}
Sent: {'timestamp': 1757315521.9626775, 'temperature': 26.82, 'status': 'error'}
Sent: {'timestamp': 1757315522.2962458, 'temperature': 27.82, 'status': 'ok'}
Sent: {'timestamp': 1757315522.6298676, 'temperature': 24.5, 'status': 'error'}
Sent: {'timestamp': 1757315522.9654193, 'temperature': 26.06, 'status': 'error'}
Sent: {'timestamp': 1757315523.3007598, 'temperature': 26.98, 'status': 'ok'}
Sent: {'timestamp': 1757315523.634964, 'temperature': 22.03, 'status': 'ok'}
Sent: {'timestamp': 1757315523.9691806, 'temperature': 22.64, 'status': 'warning'}
Sent: {'timestamp': 1757315524.3034434, 'temperature': 23.83, 'status': 'error'}
Sent: {'timestamp': 1757315524.6377742, 'temperature': 28.64, 'status': 'warning'}
Sent: {'timestamp': 1757315524.972044, 'temperature': 26.3, 'status': 'ok'}
Sent: {'timestamp': 1757315525.306821, 'temperature': 20.82, 'status': 'warning'}
Sent: {'timestamp': 1757315525.643276, 'temperature': 23.9, 'status': 'error'}
Sent: {'timestamp': 1757315525.9784338, 'temperature': 20.28, 'status': 'warning'}
Sent: {'timestamp': 1757315526.315234, 'temperature': 26.63, 'status': 'warning'}
Sent: {'timestamp': 1757315526.6500716, 'temperature': 25.41, 'status': 'ok'}
Sent: {'timestamp': 1757315526.9855504, 'temperature': 27.7, 'status': 'warning'}
Sent: {'timestamp': 1757315527.3206606, 'temperature': 25.12, 'status': 'error'}
Sent: {'timestamp': 1757315527.6557248, 'temperature': 26.09, 'status': 'warning'}
Sent: {'timestamp': 1757315527.9903858, 'temperature': 23.09, 'status': 'error'}
Sent: {'timestamp': 1757315528.3256266, 'temperature': 25.34, 'status': 'ok'}
Sent: {'timestamp': 1757315528.6596248, 'temperature': 23.17, 'status': 'ok'}
Sent: {'timestamp': 1757315528.99374, 'temperature': 25.96, 'status': 'warning'}
Sent: {'timestamp': 1757315529.3345277, 'temperature': 24.03, 'status': 'error'}
Sent: {'timestamp': 1757315529.6686022, 'temperature': 29.14, 'status': 'error'}
Sent: {'timestamp': 1757315530.002985, 'temperature': 21.13, 'status': 'ok'}
Sent: {'timestamp': 1757315530.3365176, 'temperature': 20.49, 'status': 'error'}
Sent: {'timestamp': 1757315530.6712399, 'temperature': 20.64, 'status': 'ok'}
Sent: {'timestamp': 1757315531.0049546, 'temperature': 28.98, 'status': 'error'}
Sent: {'timestamp': 1757315531.3392282, 'temperature': 23.53, 'status': 'ok'}
Sent: {'timestamp': 1757315531.6753337, 'temperature': 25.67, 'status': 'warning'}
Sent: {'timestamp': 1757315532.0094783, 'temperature': 26.23, 'status': 'error'}
Sent: {'timestamp': 1757315532.3466444, 'temperature': 26.98, 'status': 'error'}
Sent: {'timestamp': 1757315532.6821537, 'temperature': 24.67, 'status': 'error'}
Sent: {'timestamp': 1757315533.0156608, 'temperature': 26.23, 'status': 'ok'}
Sent: {'timestamp': 1757315533.3496735, 'temperature': 27.36, 'status': 'warning'}
Sent: {'timestamp': 1757315533.6831567, 'temperature': 25.48, 'status': 'warning'}
Sent: {'timestamp': 1757315534.019413, 'temperature': 20.27, 'status': 'warning'}
Sent: {'timestamp': 1757315534.351387, 'temperature': 24.5, 'status': 'error'}
Sent: {'timestamp': 1757315534.6852698, 'temperature': 26.24, 'status': 'error'}
Sent: {'timestamp': 1757315535.0191379, 'temperature': 22.37, 'status': 'warning'}
Sent: {'timestamp': 1757315535.3537257, 'temperature': 23.54, 'status': 'ok'}
Sent: {'timestamp': 1757315535.688047, 'temperature': 28.02, 'status': 'ok'}
Sent: {'timestamp': 1757315536.023078, 'temperature': 29.9, 'status': 'ok'}
Sent: {'timestamp': 1757315536.3580766, 'temperature': 28.5, 'status': 'ok'}
Sent: {'timestamp': 1757315536.6927283, 'temperature': 23.5, 'status': 'ok'}
Sent: {'timestamp': 1757315537.0271788, 'temperature': 27.05, 'status': 'warning'}
Sent: {'timestamp': 1757315537.360843, 'temperature': 27.23, 'status': 'ok'}
Sent: {'timestamp': 1757315537.6965592, 'temperature': 26.55, 'status': 'warning'}
Sent: {'timestamp': 1757315538.0297325, 'temperature': 24.24, 'status': 'ok'}
Sent: {'timestamp': 1757315538.3634362, 'temperature': 23.83, 'status': 'error'}
Sent: {'timestamp': 1757315538.6974688, 'temperature': 24.94, 'status': 'ok'}
Sent: {'timestamp': 1757315539.0310152, 'temperature': 28.85, 'status': 'ok'}
Sent: {'timestamp': 1757315539.364837, 'temperature': 21.36, 'status': 'ok'}
Sent: {'timestamp': 1757315539.699012, 'temperature': 23.7, 'status': 'ok'}
Sent: {'timestamp': 1757315540.0324695, 'temperature': 27.75, 'status': 'warning'}
Sent: {'timestamp': 1757315540.3660398, 'temperature': 25.16, 'status': 'ok'}
Sent: {'timestamp': 1757315540.6997926, 'temperature': 27.48, 'status': 'warning'}
Sent: {'timestamp': 1757315541.0331905, 'temperature': 27.09, 'status': 'error'}
Sent: {'timestamp': 1757315541.3677049, 'temperature': 23.38, 'status': 'error'}
Sent: {'timestamp': 1757315541.7022567, 'temperature': 28.13, 'status': 'error'}
Sent: {'timestamp': 1757315542.036878, 'temperature': 24.33, 'status': 'ok'}
Sent: {'timestamp': 1757315542.3705146, 'temperature': 23.54, 'status': 'ok'}
Sent: {'timestamp': 1757315542.7045271, 'temperature': 21.71, 'status': 'warning'}
Sent: {'timestamp': 1757315543.0381505, 'temperature': 25.9, 'status': 'ok'}
Sent: {'timestamp': 1757315543.3716888, 'temperature': 23.35, 'status': 'warning'}
Sent: {'timestamp': 1757315543.705631, 'temperature': 29.78, 'status': 'error'}
Sent: {'timestamp': 1757315544.0394359, 'temperature': 20.52, 'status': 'ok'}
Sent: {'timestamp': 1757315544.3735685, 'temperature': 28.75, 'status': 'warning'}
Sent: {'timestamp': 1757315544.7071805, 'temperature': 27.18, 'status': 'warning'}
Sent: {'timestamp': 1757315545.041057, 'temperature': 27.79, 'status': 'ok'}
Sent: {'timestamp': 1757315545.3764586, 'temperature': 29.47, 'status': 'error'}
Sent: {'timestamp': 1757315545.710766, 'temperature': 21.74, 'status': 'ok'}
Sent: {'timestamp': 1757315546.045165, 'temperature': 23.79, 'status': 'error'}
Sent: {'timestamp': 1757315546.380879, 'temperature': 29.63, 'status': 'error'}
Sent: {'timestamp': 1757315546.7155907, 'temperature': 26.07, 'status': 'warning'}
Sent: {'timestamp': 1757315547.049574, 'temperature': 23.1, 'status': 'warning'}
Sent: {'timestamp': 1757315547.3835356, 'temperature': 21.53, 'status': 'error'}
Sent: {'timestamp': 1757315547.7175767, 'temperature': 24.17, 'status': 'ok'}
Sent: {'timestamp': 1757315548.0516129, 'temperature': 24.9, 'status': 'ok'}
Sent: {'timestamp': 1757315548.3852656, 'temperature': 25.85, 'status': 'ok'}
Sent: {'timestamp': 1757315548.7206059, 'temperature': 26.33, 'status': 'ok'}
Sent: {'timestamp': 1757315549.054239, 'temperature': 23.56, 'status': 'error'}
Sent: {'timestamp': 1757315549.38847, 'temperature': 25.94, 'status': 'ok'}
Sent: {'timestamp': 1757315549.7224796, 'temperature': 23.28, 'status': 'warning'}
Sent: {'timestamp': 1757315550.056323, 'temperature': 27.08, 'status': 'ok'}
Sent: {'timestamp': 1757315550.3897548, 'temperature': 27.16, 'status': 'ok'}
Sent: {'timestamp': 1757315550.7234218, 'temperature': 26.98, 'status': 'warning'}
Sent: {'timestamp': 1757315551.0570514, 'temperature': 24.72, 'status': 'error'}
Sent: {'timestamp': 1757315551.390291, 'temperature': 20.3, 'status': 'warning'}
Sent: {'timestamp': 1757315551.725537, 'temperature': 22.44, 'status': 'error'}
Sent: {'timestamp': 1757315552.0594094, 'temperature': 28.34, 'status': 'ok'}
Sent: {'timestamp': 1757315552.392995, 'temperature': 28.57, 'status': 'ok'}
Sent: {'timestamp': 1757315552.7281563, 'temperature': 28.8, 'status': 'warning'}
Sent: {'timestamp': 1757315553.0602164, 'temperature': 23.2, 'status': 'warning'}
Sent: {'timestamp': 1757315553.392394, 'temperature': 22.75, 'status': 'error'}
Sent: {'timestamp': 1757315553.7245982, 'temperature': 29.65, 'status': 'error'}
Sent: {'timestamp': 1757315556.3468623, 'temperature': 27.68, 'status': 'warning'}
Sent: {'timestamp': 1757315556.6810107, 'temperature': 24.67, 'status': 'warning'}
Sent: {'timestamp': 1757315557.0146341, 'temperature': 29.76, 'status': 'warning'}
Sent: {'timestamp': 1757315557.3483562, 'temperature': 27.15, 'status': 'ok'}
Sent: {'timestamp': 1757315557.6828818, 'temperature': 23.56, 'status': 'error'}
Sent: {'timestamp': 1757315558.0175087, 'temperature': 25.66, 'status': 'error'}
Sent: {'timestamp': 1757315558.3517148, 'temperature': 28.0, 'status': 'warning'}
Sent: {'timestamp': 1757315558.6854355, 'temperature': 26.19, 'status': 'error'}
Sent: {'timestamp': 1757315559.0191364, 'temperature': 21.29, 'status': 'ok'}
Sent: {'timestamp': 1757315559.3532424, 'temperature': 29.68, 'status': 'warning'}
Sent: {'timestamp': 1757315559.687595, 'temperature': 21.17, 'status': 'warning'}
Sent: {'timestamp': 1757315560.02125, 'temperature': 29.4, 'status': 'error'}
Sent: {'timestamp': 1757315560.355438, 'temperature': 24.79, 'status': 'ok'}
Sent: {'timestamp': 1757315560.6909502, 'temperature': 21.36, 'status': 'error'}
Sent: {'timestamp': 1757315561.026518, 'temperature': 20.02, 'status': 'ok'}
Sent: {'timestamp': 1757315561.3610196, 'temperature': 27.58, 'status': 'error'}
Sent: {'timestamp': 1757315561.6962128, 'temperature': 20.31, 'status': 'error'}
Sent: {'timestamp': 1757315562.0286634, 'temperature': 24.95, 'status': 'warning'}
Sent: {'timestamp': 1757315562.3627148, 'temperature': 20.5, 'status': 'error'}
Sent: {'timestamp': 1757315562.6963828, 'temperature': 29.99, 'status': 'error'}
Sent: {'timestamp': 1757315563.0300896, 'temperature': 25.44, 'status': 'ok'}
Sent: {'timestamp': 1757315563.3638601, 'temperature': 29.03, 'status': 'ok'}
Sent: {'timestamp': 1757315563.6974096, 'temperature': 20.79, 'status': 'error'}
Sent: {'timestamp': 1757315564.0310082, 'temperature': 22.34, 'status': 'ok'}
Sent: {'timestamp': 1757315564.364289, 'temperature': 22.01, 'status': 'warning'}
Sent: {'timestamp': 1757315564.6987739, 'temperature': 26.73, 'status': 'ok'}
Sent: {'timestamp': 1757315565.0323067, 'temperature': 23.56, 'status': 'warning'}
Sent: {'timestamp': 1757315565.3646052, 'temperature': 21.32, 'status': 'ok'}
Sent: {'timestamp': 1757315565.6974132, 'temperature': 23.26, 'status': 'warning'}
Sent: {'timestamp': 1757315566.030298, 'temperature': 29.73, 'status': 'error'}
Sent: {'timestamp': 1757315566.36482, 'temperature': 26.84, 'status': 'ok'}
Sent: {'timestamp': 1757315566.6987798, 'temperature': 26.68, 'status': 'warning'}
Sent: {'timestamp': 1757315567.0329483, 'temperature': 26.89, 'status': 'error'}
Sent: {'timestamp': 1757315567.3672323, 'temperature': 28.38, 'status': 'warning'}
Sent: {'timestamp': 1757315567.7000954, 'temperature': 28.04, 'status': 'ok'}
Sent: {'timestamp': 1757315568.0362606, 'temperature': 29.56, 'status': 'ok'}
Sent: {'timestamp': 1757315568.3697963, 'temperature': 21.15, 'status': 'error'}
Sent: {'timestamp': 1757315568.7045584, 'temperature': 26.4, 'status': 'error'}
Sent: {'timestamp': 1757315569.03835, 'temperature': 26.61, 'status': 'ok'}
Sent: {'timestamp': 1757315569.3719687, 'temperature': 23.34, 'status': 'error'}
Sent: {'timestamp': 1757315569.7064507, 'temperature': 20.05, 'status': 'error'}
Sent: {'timestamp': 1757315570.0400653, 'temperature': 27.64, 'status': 'ok'}
Sent: {'timestamp': 1757315570.3734524, 'temperature': 20.33, 'status': 'error'}
Sent: {'timestamp': 1757315570.7069821, 'temperature': 21.81, 'status': 'warning'}
Sent: {'timestamp': 1757315571.041069, 'temperature': 24.89, 'status': 'ok'}
Sent: {'timestamp': 1757315571.374759, 'temperature': 29.31, 'status': 'error'}
Sent: {'timestamp': 1757315571.7093365, 'temperature': 21.79, 'status': 'error'}
Sent: {'timestamp': 1757315572.043317, 'temperature': 23.89, 'status': 'ok'}
Sent: {'timestamp': 1757315572.3768196, 'temperature': 20.66, 'status': 'ok'}
Sent: {'timestamp': 1757315572.710922, 'temperature': 29.62, 'status': 'ok'}
Sent: {'timestamp': 1757315573.044883, 'temperature': 22.7, 'status': 'warning'}
Sent: {'timestamp': 1757315573.3788512, 'temperature': 21.5, 'status': 'ok'}
Sent: {'timestamp': 1757315573.7120225, 'temperature': 20.58, 'status': 'ok'}
Sent: {'timestamp': 1757315574.0452552, 'temperature': 20.79, 'status': 'error'}
Sent: {'timestamp': 1757315574.3797574, 'temperature': 29.93, 'status': 'error'}
Sent: {'timestamp': 1757315574.7133534, 'temperature': 28.93, 'status': 'ok'}
Sent: {'timestamp': 1757315575.0471225, 'temperature': 23.73, 'status': 'error'}
Sent: {'timestamp': 1757315575.3819587, 'temperature': 22.17, 'status': 'warning'}
